City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
424,sao felix do xingu,-6.6447,-51.995,29.78,58,52,1.34,BR,1737392023
425,kuching,1.55,110.3333,26.12,97,20,1.03,MY,1737392024
426,dolores,-36.3132,-57.6792,30.66,19,14,6.46,AR,1737391872
427,villa gesell,-37.2639,-56.973,22.0,55,55,5.99,AR,1737392027
428,huarmey,-10.0681,-78.1522,23.04,76,78,4.11,PE,1737392028
429,nelson bay,-32.7167,152.15,17.22,93,38,2.68,AU,1737392029
430,utete,-7.986,38.758,24.85,90,45,1.76,TZ,1737392030
431,shache,38.4167,77.2406,-1.08,38,42,1.33,CN,1737392031
432,wabag,-5.4781,143.7021,12.31,98,81,0.88,PG,1737392032
433,pingliang,35.5392,106.6861,1.8,39,96,1.34,CN,1737392033
434,lorengau,-2.0226,147.2712,28.09,77,100,3.98,PG,1737392034
435,batouri,4.4333,14.3667,30.97,31,58,1.1,CM,1737392036
436,conde,-7.2597,-34.9075,31.7,51,20,4.63,BR,1737392037
437,hereford,52.0568,-2.7148,6.3,93,100,1.29,GB,1737392038
438,khamis mushait,18.3064,42.7292,15.34,72,0,4.12,SA,1737392039
439,whangarei,-35.7317,174.3239,18.77,99,100,5.71,NZ,1737392041
440,uliastay,47.7417,96.8444,-16.49,90,52,3.18,MN,1737392042
441,kamiiso,41.8167,140.65,0.21,80,44,2.06,JP,1737392043
442,rio gallegos,-51.6226,-69.2181,14.03,58,0,3.09,AR,1737392044
443,hanko,59.8333,22.95,-0.09,66,84,15.2,FI,1737392045
444,barakani,-12.1356,44.4317,27.1,80,32,2.65,KM,1737392046
445,minot,48.2325,-101.2963,-28.88,63,0,8.23,US,1737392047
446,jayapura,-2.5333,140.7,24.66,91,79,1.08,ID,1737392048
447,kailua-kona,19.6406,-155.9956,19.98,78,0,1.54,US,1737391778
448,zmeinogorsk,51.1567,82.195,-4.17,83,99,3.34,RU,1737392051
449,selizharovo,56.8519,33.4487,-2.98,79,97,2.88,RU,1737392052
450,arica,-18.475,-70.3042,24.13,57,0,5.66,CL,1737392053
451,mandiana,10.6333,-8.6833,33.05,11,1,2.27,GN,1737392054
452,palmer,42.1584,-72.3287,-4.36,56,5,1.34,US,1737392055
453,kavaratti,10.5669,72.642,28.18,75,30,3.27,IN,1737392056
454,hacienda huancane,-15.8222,-70.8856,8.42,62,100,2.71,PE,1737392057
455,gillette,44.2911,-105.5022,-21.64,77,8,3.13,US,1737392058
456,zheleznogorsk-ilimskiy,56.5768,104.1217,-11.26,96,96,3.27,RU,1737392059
457,natal,-5.795,-35.2094,31.36,66,20,5.66,BR,1737391587
458,kachug,53.9606,105.8817,-21.99,100,95,0.42,RU,1737392062
459,mount isa,-20.7333,139.5,22.87,78,84,2.06,AU,1737392063
460,cururupu,-1.8283,-44.8683,24.06,98,93,1.36,BR,1737392064
461,hilo,19.7297,-155.09,19.17,84,20,2.57,US,1737392065
462,el porvenir,13.7617,-87.3458,32.32,32,38,3.08,HN,1737392066
463,hoopeston,40.4673,-87.6684,-12.22,42,0,5.45,US,1737392067
464,kamaishi,39.2667,141.8833,3.52,85,52,2.13,JP,1737392069
465,songyuan,45.1171,124.8568,-11.21,91,100,2.39,CN,1737392070
466,portland,45.5234,-122.6762,3.57,62,40,4.92,US,1737391916
467,colonia,50.9333,6.95,1.09,86,100,2.57,DE,1737391903
468,ascencion,31.1,-107.9833,8.98,19,1,2.03,MX,1737392073
469,amnat charoen,15.9167,104.75,15.23,79,100,4.43,TH,1737392074
470,howrah,22.5892,88.3103,17.0,77,0,0.0,IN,1737392075
471,antalaha,-14.9003,50.2788,25.34,85,60,1.3,MG,1737392076
472,ambovombe,-25.1667,46.0833,28.36,66,8,4.93,MG,1737392078
473,bageshwar,29.85,79.7667,14.77,35,99,1.26,IN,1737392079
474,kristiansund,63.1115,7.732,2.85,93,20,2.06,NO,1737392080
475,alesund,62.4723,6.1549,5.74,81,40,5.66,NO,1737392056
476,kitimat,54.0524,-128.6534,-3.38,59,100,0.66,CA,1737392082
477,barra de santo antonio,-9.4047,-35.5072,28.29,65,12,5.08,BR,1737392083
478,pons,45.5799,-0.5478,8.97,94,0,2.06,FR,1737392085
479,flying fish cove,-10.4217,105.6791,23.82,100,75,7.72,CX,1737392086
480,hami,42.8,93.45,-5.26,52,46,2.73,CN,1737392088
481,guayaramerin,-10.8368,-65.3614,26.03,83,100,3.6,BO,1737392089
482,mocimboa,-11.3167,40.35,26.22,87,68,4.56,MZ,1737392090
483,monrovia,6.3005,-10.7969,28.94,66,0,5.43,LR,1737392044
484,rudbar,30.15,62.6,13.06,52,2,2.33,AF,1737392092
485,qamdo,31.1667,97.2333,-2.32,30,38,1.68,CN,1737392093
486,bandarbeyla,9.4942,50.8122,23.65,77,92,7.45,SO,1737392094
487,afaahiti,-17.75,-149.2833,25.93,72,78,7.87,PF,1737392095
488,elbistan,38.2059,37.1983,1.14,59,1,1.54,TR,1737392096
489,gondar,12.6,37.4667,18.48,22,16,2.38,ET,1737392097
490,chardara,41.2547,67.9692,5.15,68,74,1.69,KZ,1737392099
491,shiloh,38.5614,-89.8973,-11.28,51,0,3.09,US,1737391988
492,manaure,11.7751,-72.4445,31.03,49,1,10.05,CO,1737392101
493,quezon,7.7303,125.0989,21.83,95,100,1.44,PH,1737392102
494,woolgoolga,-30.1106,153.2007,18.93,82,25,2.29,AU,1737392103
495,miri,4.4148,114.0089,25.08,94,40,0.0,MY,1737392104
496,dalbandin,28.8947,64.4101,13.3,53,55,1.66,PK,1737392105
497,partenit,44.578,34.3446,5.21,59,1,0.67,UA,1737392106
498,lautoka,-17.6167,177.4667,25.92,94,40,0.0,FJ,1737392107
499,kavieng,-2.5744,150.7967,27.52,81,73,5.98,PG,1737392109
500,tomatlan,19.9333,-105.25,26.25,47,100,1.4,MX,1737392110
501,huai khot,15.2909,99.6166,21.46,44,100,1.92,TH,1737392111
502,mariehamn,60.0973,19.9348,0.92,80,0,4.63,AX,1737392112
503,balotra,25.8333,72.2333,20.53,38,0,3.17,IN,1737392113
504,levanger,63.7464,11.2996,1.0,94,100,1.62,NO,1737392114
505,am timan,11.0297,20.2827,32.39,14,38,1.79,TD,1737392115
506,es castell,39.8795,4.2854,13.38,76,75,4.12,ES,1737392116
507,tadine,-21.55,167.8833,25.09,91,100,2.55,NC,1737392117
508,strathalbyn,-35.2667,138.9,17.14,95,26,2.58,AU,1737392118
509,kouango,4.9934,19.9619,31.72,33,92,1.2,CF,1737392120
510,puerto san jose,13.9256,-90.8244,28.23,60,62,3.77,GT,1737392121
511,pakxan,18.3778,103.6601,16.96,69,53,1.33,LA,1737392122
512,zyryanskoye,56.8306,86.6258,-2.5,89,100,6.61,RU,1737392123
513,marsh harbour,26.5412,-77.0636,22.84,83,100,5.59,BS,1737391966
514,togur,58.3631,82.8265,-2.25,92,100,5.91,RU,1737392125
515,key west,24.5557,-81.7826,18.33,84,100,6.69,US,1737392126
516,olmaliq,40.8447,69.5983,7.48,55,100,2.15,UZ,1737392127
517,pamanukan,-6.2842,107.8106,24.51,92,100,4.16,ID,1737392128
518,codrington,-38.2667,141.9667,16.45,91,0,4.03,AU,1737392130
519,chernyshevskiy,63.0128,112.4714,-11.88,94,100,4.96,RU,1737392131
520,meadow lake,34.8014,-106.5436,-0.73,32,33,4.87,US,1737392132
521,san fernando de apure,7.8878,-67.4724,34.61,34,28,4.62,VE,1737392133
522,palmas,-10.2128,-48.3603,26.93,74,40,4.12,BR,1737391816
523,ouadda,8.0777,22.4007,28.97,20,55,1.34,CF,1737392135
524,newnham,-41.3833,147.1333,12.53,87,13,2.06,AU,1737392136
525,rio verde de mato grosso,-18.9181,-54.8442,29.15,61,100,4.42,BR,1737392137
526,idri,27.5,13.2667,16.92,40,54,4.64,LY,1737392138
527,murzuq,25.9155,13.9184,16.78,39,0,5.17,LY,1737392139
528,kotlas,61.2611,46.6556,-7.78,86,100,7.53,RU,1737392142
529,spring creek,40.7266,-115.5859,-7.33,74,0,3.05,US,1737392143
530,lekki,6.3607,4.8333,29.01,64,95,3.31,NG,1737392144
531,stewartville,43.8555,-92.4885,-20.06,62,75,7.2,US,1737391927
532,vicuna,-30.0319,-70.7081,28.76,40,1,3.58,CL,1737392147
533,erenhot,43.6475,111.9767,-7.6,62,11,2.31,CN,1737392149
534,el granada,37.5027,-122.4694,10.44,74,20,0.89,US,1737392150
535,opuwo,-18.0607,13.84,30.83,15,86,7.8,NA,1737392151
536,brejo santo,-7.4933,-38.9872,27.72,68,64,2.72,BR,1737392152
537,markaz-e hukumat-e darweshan,31.1323,64.1934,10.75,67,1,4.66,AF,1737392153
538,hagere maryam,5.6333,38.2333,18.44,26,84,1.21,ET,1737392154
539,cam ranh,11.9214,109.1591,21.98,68,0,5.14,VN,1737392155
540,arkhangel'sk,64.5401,40.5433,-5.94,68,40,8.0,RU,1737392157
541,sinabang,2.4803,96.3801,26.01,85,100,0.97,ID,1737392159
542,machico,32.7,-16.7667,18.34,86,75,9.77,PT,1737392160
543,karratha,-20.7377,116.8463,28.7,79,94,5.82,AU,1737392162
544,sivrihisar,39.4504,31.5341,2.34,57,0,2.12,TR,1737392163
545,nizhnesortymskiy,62.4397,71.7603,-6.72,96,100,3.32,RU,1737392164
546,horta,38.5333,-28.6333,15.8,82,40,14.92,PT,1737392165
547,medina,24.4686,39.6142,23.24,23,0,0.0,SA,1737392166
548,aral,40.5156,81.2636,-2.45,38,64,3.25,CN,1737392167
549,aswan,24.0934,32.907,25.61,16,0,2.06,EG,1737392086
550,arraial do cabo,-22.9661,-42.0278,35.98,62,0,4.63,BR,1737392170
551,chakwal,32.9334,72.8585,8.73,55,4,0.8,PK,1737392171
552,puerto cabezas,14.0351,-83.3888,28.98,74,20,4.12,NI,1737392172
553,howard springs,-12.497,131.047,28.95,91,84,0.4,AU,1737392173
554,dunedin,-45.8742,170.5036,13.78,87,100,0.45,NZ,1737392174
555,noshiro,40.2039,140.0242,1.98,82,81,1.87,JP,1737392175
556,yarmouth,41.7057,-70.2286,-2.73,70,0,10.73,US,1737392176
557,tafuna,-14.3358,-170.72,25.97,89,20,1.03,AS,1737392178
558,ha'il,27.5219,41.6907,15.01,23,0,4.12,SA,1737392179
559,kayangel,8.0823,134.7173,28.74,76,96,5.36,PW,1737392181
560,najera,42.4244,-2.734,6.15,85,44,2.62,ES,1737392182
561,tegueste,28.5167,-16.3167,18.14,81,75,5.66,ES,1737392183
562,fuglafjordur,62.244,-6.814,6.27,90,22,1.85,FO,1737392184
563,tanjung selor,2.8372,117.3642,22.91,98,100,0.7,ID,1737392185
564,oued el abtal,35.456,0.6878,13.84,45,58,1.56,DZ,1737392090
565,harar,9.3094,42.1258,15.71,30,95,4.23,ET,1737392187
566,tuy hoa,13.0833,109.3,18.4,81,81,1.93,VN,1737392188
567,wanning,18.8003,110.3967,16.4,78,29,2.1,CN,1737392191
568,chimoio,-19.1164,33.4833,21.62,94,100,1.33,MZ,1737392193
569,oranjemund,-28.55,16.4333,19.09,81,3,11.52,NA,1737392116
570,vilyuchinsk,52.9306,158.4028,-9.85,91,78,2.71,RU,1737392001
571,antofagasta,-23.65,-70.4,21.6,70,71,4.12,CL,1737392196
572,conception bay south,47.4999,-52.9981,11.62,96,100,8.75,CA,1737392105
573,mezapa,15.5833,-87.65,26.81,76,77,1.6,HN,1737392198
574,trairi,-3.2778,-39.2689,29.77,58,85,3.38,BR,1737392047
575,bonthe,7.5264,-12.505,29.49,58,1,5.91,SL,1737392201
576,tarawa,1.419,172.984,27.05,83,40,6.17,KI,1737392202
577,tibati,6.4667,12.6333,29.6,22,7,1.54,CM,1737392203
